Sample	theta_A	theta_B	theta_root	tau_root	tau_A	tau_B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
448	 0.66421	 0.56273	 8.02049	 0.00000	 0.00000	 0.00000	-1216.531796182	-14261.891647411	2096.573685594
449	 0.64586	 0.56489	 7.67599	 0.00000	 0.00000	 0.00000	-1216.478607483	-14276.730917320	2111.944842493
450	 0.63151	 0.59341	 7.91147	 0.00000	 0.00000	 0.00000	-1215.562331742	-14273.207806055	2117.584488639
451	 0.65717	 0.58292	 7.89258	 0.00000	 0.00000	 0.00000	-1217.328787364	-14270.432769872	2097.144896233
452	 0.62107	 0.55139	 8.27420	 0.00000	 0.00000	 0.00000	-1215.070189332	-14269.038909740	2118.337016418
453	 0.58536	 0.56332	 8.26035	 0.00000	 0.00000	 0.00000	-1217.680862136	-14274.183476818	2097.374855455
454	 0.55491	 0.58119	 8.44780	 0.00000	 0.00000	 0.00000	-1217.954758480	-14271.938915205	2092.391330409
455	 0.57112	 0.57417	 8.56605	 0.00000	 0.00000	 0.00000	-1219.298880034	-14279.073442881	2086.084642544
456	 0.59878	 0.59324	 8.25144	 0.00000	 0.00000	 0.00000	-1216.350815281	-14276.512656631	2113.004503823
457	 0.58875	 0.58107	 8.28184	 0.00000	 0.00000	 0.00000	-1218.044248417	-14278.759174574	2098.316690402
458	 0.61309	 0.60206	 8.49685	 0.00000	 0.00000	 0.00000	-1218.372741366	-14275.060880154	2091.333466498
459	 0.62020	 0.58518	 8.46938	 0.00000	 0.00000	 0.00000	-1220.145812555	-14277.348646679	2075.890521125
460	 0.59108	 0.56378	 8.09141	 0.00000	 0.00000	 0.00000	-1215.469566012	-14268.292423686	2113.596763570
461	 0.57381	 0.53215	 8.38962	 0.00000	 0.00000	 0.00000	-1215.445025080	-14274.218008820	2119.767758015
462	 0.54617	 0.51062	 8.67021	 0.00000	 0.00000	 0.00000	-1218.290473135	-14273.461080887	2090.556349534
463	 0.55507	 0.53306	 8.65207	 0.00000	 0.00000	 0.00000	-1218.037722585	-14266.046994801	2085.669768951
464	 0.56721	 0.50289	 8.96275	 0.00000	 0.00000	 0.00000	-1221.223816090	-14272.331229589	2060.093068688
465	 0.58803	 0.51639	 9.10313	 0.00000	 0.00000	 0.00000	-1218.508992851	-14273.182383253	2088.092454741
466	 0.57438	 0.53141	 9.07239	 0.00000	 0.00000	 0.00000	-1220.767213663	-14277.695995873	2070.023859239
467	 0.54942	 0.55587	 9.41756	 0.00000	 0.00000	 0.00000	-1221.771989469	-14276.088394660	2058.368499970
468	 0.53159	 0.52664	 9.39098	 0.00000	 0.00000	 0.00000	-1220.649572272	-14278.720087371	2072.224364649
469	 0.55880	 0.50846	 8.83764	 0.00000	 0.00000	 0.00000	-1219.718013188	-14273.849124615	2076.668992739
470	 0.53064	 0.49709	 9.21659	 0.00000	 0.00000	 0.00000	-1219.904916331	-14276.517738974	2077.468575666
471	 0.50612	 0.48026	 9.49978	 0.00000	 0.00000	 0.00000	-1223.885306159	-14277.082672255	2038.229610661
472	 0.52519	 0.47178	 9.37916	 0.00000	 0.00000	 0.00000	-1224.074893538	-14279.450137930	2038.701202548
473	 0.50058	 0.46218	 9.40842	 0.00000	 0.00000	 0.00000	-1219.883837427	-14267.277029788	2068.438655522
474	 0.51353	 0.44012	10.02193	 0.00000	 0.00000	 0.00000	-1220.925148490	-14266.094346527	2056.842861626
475	 0.53670	 0.41724	10.05783	 0.00000	 0.00000	 0.00000	-1226.227258457	-14280.044909440	2017.772324873
476	 0.57067	 0.40275	 9.85795	 0.00000	 0.00000	 0.00000	-1223.835875432	-14270.422730466	2032.063976144
477	 0.59327	 0.39921	 9.39616	 0.00000	 0.00000	 0.00000	-1224.523365110	-14270.609913599	2025.376262495
478	 0.58114	 0.39215	 9.38449	 0.00000	 0.00000	 0.00000	-1224.248162643	-14281.651393087	2039.169766657
479	 0.55709	 0.41185	 9.16699	 0.00000	 0.00000	 0.00000	-1222.538522770	-14287.763187347	2062.377959652
480	 0.57669	 0.43577	 9.14100	 0.00000	 0.00000	 0.00000	-1220.183603812	-14274.907320659	2073.071282536
481	 0.59705	 0.43999	 9.16249	 0.00000	 0.00000	 0.00000	-1221.581630997	-14284.067630686	2068.251320714
482	 0.55935	 0.43267	 8.72386	 0.00000	 0.00000	 0.00000	-1219.737234845	-14273.353212856	2075.980864404
483	 0.54001	 0.45471	 8.29355	 0.00000	 0.00000	 0.00000	-1216.317331389	-14275.016943941	2111.843630050
484	 0.55681	 0.43927	 8.47510	 0.00000	 0.00000	 0.00000	-1218.461364602	-14273.461463512	2088.847817494
485	 0.53443	 0.46661	 8.98796	 0.00000	 0.00000	 0.00000	-1220.641794119	-14281.147782379	2074.729841188
486	 0.50677	 0.44952	 8.37965	 0.00000	 0.00000	 0.00000	-1217.894848144	-14275.013408943	2096.064927501
487	 0.53079	 0.46217	 7.98156	 0.00000	 0.00000	 0.00000	-1219.042086536	-14279.913478064	2089.492612708
488	 0.55456	 0.47656	 7.95807	 0.00000	 0.00000	 0.00000	-1219.198610985	-14276.915695282	2084.929585429
489	 0.52117	 0.44828	 7.56285	 0.00000	 0.00000	 0.00000	-1215.170722022	-14272.779810583	2121.072590364
490	 0.54455	 0.45657	 7.88805	 0.00000	 0.00000	 0.00000	-1212.390704524	-14269.660142463	2145.753097226
491	 0.55189	 0.47769	 7.68549	 0.00000	 0.00000	 0.00000	-1213.199777658	-14268.119035377	2136.121258794
492	 0.56138	 0.46725	 7.65187	 0.00000	 0.00000	 0.00000	-1211.911196340	-14265.341799720	2146.229836322
493	 0.53826	 0.47946	 7.35023	 0.00000	 0.00000	 0.00000	-1215.281601886	-14279.179810873	2126.363792016
494	 0.56862	 0.46472	 7.72044	 0.00000	 0.00000	 0.00000	-1213.673934553	-14271.789596987	2135.050251453
495	 0.59993	 0.47487	 7.85667	 0.00000	 0.00000	 0.00000	-1216.169610884	-14276.800876443	2115.104767607
496	 0.57268	 0.45668	 7.83419	 0.00000	 0.00000	 0.00000	-1219.659210199	-14279.091849861	2082.499747876
497	 0.60138	 0.47426	 7.86432	 0.00000	 0.00000	 0.00000	-1215.893133846	-14273.539993002	2114.608654540
498	 0.56792	 0.49470	 8.11373	 0.00000	 0.00000	 0.00000	-1216.215156360	-14281.190377770	2119.038814173
499	 0.53956	 0.50865	 7.58888	 0.00000	 0.00000	 0.00000	-1216.616127614	-14286.056408687	2119.895132548
