,ref_gene_likelihood,hyp_gene_likelihood,hm_data_likelihood,rbf_ratio
50650,5481.712057984256,5523.619052741416,140071.34256191592,-41.906994757160646
50652,5514.365219588085,5551.0415783701765,140078.79007361623,-36.676358782091484
50654,5550.664017015357,5589.853892628596,140061.126925855,-39.189875613239565
50656,5512.709173462412,5554.670086664554,140063.35899363528,-41.960913202142365
50658,5466.79024207389,5514.780483250973,140067.21181803863,-47.99024117708268
50660,5542.999454388527,5592.212641431369,140056.17449083086,-49.21318704284204
50662,5499.161621128158,5545.413943202818,140070.13497280702,-46.25232207465979
50664,5469.4919947254675,5517.567015390437,140060.10578254887,-48.07502066496909
50666,5467.460465265287,5513.137611345415,140071.33188962747,-45.677146080128296
50668,5508.061957021403,5560.974419641192,140078.85097341327,-52.91246261978904
50670,5464.286756262243,5515.518243195926,140070.75031318498,-51.23148693368239
50672,5442.737379647832,5494.4383851994935,140076.14646698977,-51.70100555166118
50674,5426.808560442527,5476.4209608577075,140059.08279193347,-49.61240041518067
