Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
2676	 0.45476	 2.49820	11.95541	 0.00000	-1328.558197778	-14267.029789631	981.447811856
2677	 0.43166	 2.43904	11.20964	 0.00000	-1329.168238748	-14259.784674513	968.102287036
2678	 0.43859	 2.52265	11.40226	 0.00000	-1329.183205049	-14262.799057426	970.967006937
2679	 0.46062	 2.56774	11.08808	 0.00000	-1331.132733001	-14276.647243934	965.319913929
2680	 0.44235	 2.69629	11.67275	 0.00000	-1330.381472347	-14265.645017704	961.830294229
2681	 0.43084	 2.63063	11.24711	 0.00000	-1330.268178977	-14265.292316657	962.610526890
2682	 0.42100	 2.80794	11.48246	 0.00000	-1328.998690681	-14259.634279066	969.647372255
2683	 0.41337	 2.88225	10.84059	 0.00000	-1328.565507892	-14257.438375185	971.783296270
2684	 0.42812	 2.98332	10.56129	 0.00000	-1328.054097324	-14260.531806039	979.990832804
2685	 0.45068	 3.02294	10.28684	 0.00000	-1329.269276856	-14262.498325549	969.805556992
2686	 0.42742	 2.84233	 9.93115	 0.00000	-1328.099901784	-14259.966419833	978.967401989
2687	 0.42000	 2.79339	 9.64503	 0.00000	-1326.611701567	-14266.315511898	1000.198496224
2688	 0.40688	 2.88386	 9.60948	 0.00000	-1324.643549763	-14257.097928374	1010.662430744
2689	 0.41967	 2.80029	 9.96654	 0.00000	-1327.563537566	-14255.819585909	980.184210248
2690	 0.44527	 2.68308	10.41084	 0.00000	-1328.367966165	-14261.470705580	977.791043928
2691	 0.42053	 2.60286	10.20062	 0.00000	-1328.589852435	-14261.145310941	975.246786596
2692	 0.40678	 2.55531	 9.70496	 0.00000	-1329.885521723	-14270.712901143	971.857683917
2693	 0.42046	 2.42146	10.20612	 0.00000	-1329.664631306	-14266.031333307	969.385020248
2694	 0.43349	 2.35577	 9.55699	 0.00000	-1327.282229302	-14263.763147338	990.940854319
2695	 0.44946	 2.48452	 9.57023	 0.00000	-1327.249180253	-14264.947682847	992.455880314
2696	 0.43935	 2.42763	 9.18763	 0.00000	-1328.284178005	-14265.178424657	982.336644602
2697	 0.46012	 2.36819	 9.47493	 0.00000	-1328.581581807	-14260.615152777	974.799334703
2698	 0.48323	 2.28250	 9.26597	 0.00000	-1326.627003361	-14261.098923980	994.828890371
2699	 0.47333	 2.45361	 9.18634	 0.00000	-1325.830989348	-14269.440915603	1011.131022127
2700	 0.44557	 2.54591	 8.95608	 0.00000	-1327.248310869	-14274.509427765	1002.026319078
2701	 0.42787	 2.46970	 8.97410	 0.00000	-1329.799187412	-14277.317297199	979.325423075
2702	 0.41220	 2.35966	 9.39835	 0.00000	-1325.218862310	-14272.337730815	1020.149107710
2703	 0.42816	 2.28565	 9.11012	 0.00000	-1326.332474069	-14278.215874786	1014.891134099
2704	 0.44677	 2.38653	 9.48321	 0.00000	-1325.089102577	-14268.243179129	1017.352153364
2705	 0.42724	 2.39586	 9.84199	 0.00000	-1325.731457178	-14264.775612359	1007.461040581
2706	 0.44275	 2.48744	10.11280	 0.00000	-1329.889942326	-14279.000126013	980.100702751
2707	 0.45890	 2.54327	10.49999	 0.00000	-1327.533158261	-14265.298851675	989.967269060
2708	 0.44349	 2.43181	10.17589	 0.00000	-1329.755900536	-14269.293601141	971.734595785
2709	 0.46476	 2.33879	 9.91679	 0.00000	-1328.290213700	-14263.324788442	980.422651437
2710	 0.45263	 2.44161	 9.93793	 0.00000	-1325.614102048	-14255.750692165	999.609671687
2711	 0.43424	 2.36291	10.36396	 0.00000	-1327.257197180	-14261.372859879	988.800888083
2712	 0.42583	 2.30683	10.09816	 0.00000	-1325.705815833	-14263.270803323	1006.212644990
2713	 0.41138	 2.30908	10.67091	 0.00000	-1327.093509398	-14262.751540635	991.816446660
2714	 0.40302	 2.25746	10.30840	 0.00000	-1329.661829210	-14268.338980718	971.720688621
2715	 0.38853	 2.12547	10.36116	 0.00000	-1328.012255869	-14264.818433235	984.695874547
2716	 0.37579	 2.18545	10.66740	 0.00000	-1327.674766969	-14271.635113307	994.887443619
