Sample	theta_A	theta_B	theta_C	theta_AB	theta_root	tau_AB	tau_root	m_C->A	Complete-ld-ln-avg	Data-ld-ln	Gene-ld-ln
2036	 8.74830	 8.84246	10.71653	12.94511	 9.17755	 1.10847	 3.22467	479.93933	-1348.737568	-2864420.959169	166945.824158
2037	 8.72648	 8.82041	10.99570	13.16869	 9.15467	 1.10571	 3.20028	493.19393	-1348.660905	-2864526.856026	167205.046785
2038	 8.35710	 8.84777	11.02981	13.20954	 9.37285	 1.10914	 3.21020	479.42183	-1348.879281	-2864496.316178	166737.753403
2039	 8.38580	 9.04637	11.06769	12.56911	 9.40504	 1.11295	 3.23579	477.78082	-1348.836142	-2864406.252108	166733.968075
2040	 8.36943	 8.81624	11.04608	12.54457	 9.38668	 1.11077	 3.22947	478.71543	-1348.902927	-2864518.080279	166712.225903
2041	 8.19076	 8.83959	11.07535	12.57781	 9.22164	 1.11372	 3.23802	477.45045	-1348.613899	-2864474.223624	167246.425532
2042	 8.20627	 8.85633	10.55791	12.60162	 9.23910	 1.11583	 3.24416	483.31938	-1348.815362	-2864516.957925	166886.234537
2043	 7.73835	 8.85105	10.55161	12.59411	 9.23360	 1.11516	 3.25554	496.30998	-1348.571375	-2864565.977153	167423.228139
2044	 7.99050	 8.88863	10.59641	12.64758	 9.47032	 1.11989	 3.26936	484.20539	-1348.654387	-2864603.866134	167295.091869
2045	 8.00214	 8.90158	10.61185	12.66601	 9.48412	 1.12153	 3.27412	483.50088	-1348.784964	-2864495.204109	166925.276719
2046	 8.31830	 8.86172	10.56433	12.60929	 9.44165	 1.11650	 3.25946	485.67564	-1348.676510	-2864476.585238	167123.565383
2047	 8.33929	 8.88408	10.59099	12.64111	 9.46548	 1.11932	 3.23663	475.87471	-1348.856030	-2864529.006267	166816.946913
2048	 8.64199	 8.72396	10.18667	12.68369	 9.49735	 1.12309	 3.24753	463.91351	-1349.129247	-2864507.731199	166249.236764
2049	 8.86468	 8.74286	10.58903	12.71117	 9.51793	 1.12553	 3.26854	471.77399	-1349.410948	-2864459.058114	165637.162089
2050	 8.44996	 8.71211	10.55179	13.16096	 9.48446	 1.12157	 3.24565	462.01215	-1349.088859	-2864534.300889	166356.582418
2051	 8.16542	 8.36180	10.54180	13.14851	 9.47548	 1.12051	 3.24258	462.44985	-1349.277121	-2864627.835969	166073.593366
