Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
134	 1.36039	 2.38980	 1.02141	 6.37260	 1.42082	 3.61897	 4.81382	 0.07997	 0.09877	 0.90297	-1349.104410110	-1401788.682469329	52684.272359501
135	 1.42716	 2.42705	 1.02046	 6.36667	 1.41949	 3.79936	 4.80935	 0.07989	 0.09868	 0.90213	-1349.225878071	-1401756.570834246	52530.692763014
136	 1.36105	 2.35370	 1.05568	 6.60479	 1.39161	 3.81268	 4.82621	 0.08017	 0.09902	 0.90530	-1349.231984105	-1401776.578812191	52544.594706759
137	 1.39986	 2.44187	 1.11149	 6.72927	 1.38596	 3.79719	 4.80660	 0.07985	 0.09862	 0.90162	-1349.222339714	-1401768.684174016	52546.344459616
138	 1.37117	 2.32548	 1.05890	 6.54838	 1.38201	 3.74865	 4.69432	 0.07962	 0.09834	 0.89905	-1349.272215766	-1401799.341252266	52527.125486736
139	 1.36773	 2.39968	 1.05625	 6.63482	 1.34877	 3.73926	 4.55846	 0.07942	 0.09809	 0.89679	-1349.069233234	-1401747.257901150	52678.024667187
140	 1.44158	 2.53616	 1.10396	 6.96753	 1.34428	 3.58810	 4.67628	 0.07916	 0.09776	 0.89381	-1349.038051351	-1401761.108328796	52723.056978005
141	 1.35954	 2.61178	 1.10824	 6.70392	 1.28790	 3.60202	 4.69442	 0.07946	 0.09814	 0.89727	-1349.003153354	-1401767.662817168	52764.509463564
142	 1.35415	 2.72110	 1.10385	 6.67734	 1.34914	 3.47956	 4.67581	 0.07915	 0.09775	 0.89372	-1348.960886423	-1401766.628192253	52805.741768996
143	 1.35131	 2.60648	 1.07324	 6.66334	 1.39658	 3.34644	 4.66600	 0.07898	 0.09755	 0.89184	-1348.901166572	-1401747.484026349	52846.317454473
144	 1.27893	 2.50930	 1.13758	 7.12173	 1.33791	 3.35980	 4.84174	 0.07930	 0.09794	 0.89540	-1348.976490875	-1401786.559156893	52810.068281613
145	 1.27632	 2.57067	 1.16993	 7.35401	 1.33518	 3.35296	 4.83188	 0.07914	 0.09774	 0.89358	-1348.928872550	-1401792.455100532	52863.582550223
146	 1.32210	 2.40850	 1.24376	 7.11521	 1.29295	 3.34207	 4.81618	 0.07888	 0.09742	 0.89068	-1348.937594886	-1401782.045330239	52844.450443819
147	 1.32480	 2.33607	 1.22701	 7.12973	 1.22685	 3.14121	 4.70055	 0.07904	 0.09762	 0.89250	-1348.731740803	-1401740.761063365	53009.020260537
148	 1.38003	 2.31046	 1.20112	 7.15080	 1.20958	 3.15050	 4.71444	 0.08427	 0.09791	 0.89513	-1348.666626263	-1401762.034086414	53095.407823101
149	 1.31183	 2.39375	 1.17711	 7.46537	 1.15385	 3.13682	 4.53788	 0.08391	 0.09748	 0.89125	-1348.628304096	-1401821.430427199	53193.126330995
150	 1.31183	 2.24690	 1.21674	 7.16358	 1.12315	 3.13682	 4.53788	 0.08391	 0.09748	 0.89125	-1348.573181066	-1401764.131051358	53190.949985068
151	 1.25434	 2.18789	 1.32504	 7.13851	 1.15328	 3.05180	 4.52200	 0.08361	 0.09714	 0.88813	-1348.580247545	-1401812.728507688	53232.480962874
152	 1.19288	 2.29755	 1.30445	 6.99409	 1.18650	 3.06314	 4.53881	 0.08578	 0.09750	 0.89143	-1348.362935401	-1401779.219935539	53416.284534501
153	 1.14602	 2.42349	 1.27723	 7.32355	 1.15244	 2.95041	 4.71637	 0.08597	 0.09772	 0.89337	-1348.495832929	-1401741.787439630	53245.954510737
154	 1.18401	 2.39315	 1.30109	 7.33782	 1.15469	 2.95616	 4.72556	 0.08613	 0.09791	 0.89511	-1348.542346788	-1401816.210548023	53273.863760033
155	 1.21666	 2.39587	 1.23541	 7.63108	 1.17430	 2.95953	 4.73095	 0.08623	 0.09802	 0.89613	-1348.453375122	-1401774.719090640	53321.343968670
