Sample	theta_A	theta_B	theta_root	tau_root	Data-ld-ln	Full-ld-ln	Gene-ld-ln
646	 0.54209	 3.26019	1106.15235	 0.00000	-9286.313821746	-92013.453281965	-849.684935495
647	 0.51298	 3.40386	1137.02155	 0.00000	-9283.215137957	-92020.202444399	-811.948935173
648	 0.50148	 3.27024	1102.04521	 0.00000	-9286.213894415	-92024.627153039	-837.511791113
649	 0.52406	 3.13820	1099.04225	 0.00000	-9287.425344772	-92033.075754778	-841.177692937
650	 0.55317	 3.28954	1102.45584	 0.00000	-9286.739173032	-92027.443199961	-839.948530360
651	 0.52038	 3.15885	1105.61523	 0.00000	-9286.588228663	-92025.643471147	-840.238815487
652	 0.53533	 3.30559	1108.79965	 0.00000	-9285.853367982	-92007.512079582	-851.021600239
653	 0.51303	 3.21429	1151.57467	 0.00000	-9281.893928475	-92011.198737532	-807.740547215
654	 0.53693	 3.25286	1118.06415	 0.00000	-9284.976207050	-91997.396286111	-852.365784388
655	 0.55567	 3.03361	1118.06415	 0.00000	-9285.730450413	-92019.640248415	-837.664255711
656	 0.56662	 3.19622	1120.05791	 0.00000	-9285.362417785	-92010.708485416	-842.915692433
657	 0.53963	 3.09459	1154.46408	 0.00000	-9280.667690061	-91994.859537515	-811.817363090
658	 0.55443	 2.95304	1093.96187	 0.00000	-9286.902154859	-92002.358486285	-866.663062309
659	 0.53618	 2.82979	1136.84878	 0.00000	-9282.590003992	-92003.200034481	-822.700005439
660	 0.52094	 2.95092	1094.26004	 0.00000	-9287.086288778	-92003.454488807	-867.408398977
661	 0.54597	 3.02145	1095.05481	 0.00000	-9286.900111999	-91997.235145957	-871.765974032
662	 0.57024	 2.91157	1099.55785	 0.00000	-9286.456947593	-92000.591722110	-863.977753822
663	 0.55249	 2.97565	1138.03720	 0.00000	-9282.437814042	-91999.201413769	-825.176726649
664	 0.52661	 3.07687	1135.12475	 0.00000	-9282.405245620	-91997.153129920	-826.899326277
665	 0.54453	 3.21559	1102.53058	 0.00000	-9285.438096009	-91995.770744077	-858.610216016
666	 0.55798	 3.19719	1099.84199	 0.00000	-9286.692561866	-92009.073312849	-857.852305807
667	 0.58971	 3.20669	1103.10771	 0.00000	-9286.774496146	-92005.472542727	-862.272418736
668	 0.61031	 3.08557	1132.84309	 0.00000	-9282.779407585	-92003.741188081	-824.052887767
